----------------------------------------------------------------------
Proccess Log 
Log file created at : Wed Jun  5 02:02:12 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
psutil.Process(pid=0, name='System Idle Process', status='running', started='1970-01-01 05:30:00') 
psutil.Process(pid=3944, name='svchost.exe', status='running', started='23:33:20') 
psutil.Process(pid=3980, name='svchost.exe', status='running', started='23:33:20') 
psutil.Process(pid=3996, name='svchost.exe', status='running', started='23:33:20') 
psutil.Process(pid=4004, name='svchost.exe', status='running', started='23:33:20') 
psutil.Process(pid=4116, name='FileCoAuth.exe', status='running', started='00:23:02') 
psutil.Process(pid=4240, name='NVDisplay.Container.exe', status='running', started='23:33:20') 
psutil.Process(pid=4264, name='svchost.exe', status='running', started='23:35:02') 
psutil.Process(pid=4300, name='svchost.exe', status='running', started='23:33:21') 
psutil.Process(pid=4404, name='svchost.exe', status='running', started='23:33:21') 
psutil.Process(pid=4500, name='svchost.exe', status='running', started='23:33:21') 
psutil.Process(pid=4532, name='ACCIMonitor.exe', status='running', started='01:34:19') 
psutil.Process(pid=4664, name='svchost.exe', status='running', started='23:33:21') 
psutil.Process(pid=4864, name='svchost.exe', status='running', started='23:33:22') 
psutil.Process(pid=4916, name='AsusOptimization.exe', status='running', started='23:33:22') 
psutil.Process(pid=4924, name='svchost.exe', status='running', started='23:33:22') 
psutil.Process(pid=5068, name='svchost.exe', status='running', started='23:33:22') 
psutil.Process(pid=5160, name='wlanext.exe', status='running', started='23:33:22') 
psutil.Process(pid=5216, name='conhost.exe', status='running', started='23:33:22') 
psutil.Process(pid=5240, name='svchost.exe', status='running', started='23:33:22') 
psutil.Process(pid=5256, name='WmiPrvSE.exe', status='running', started='23:33:22') 
psutil.Process(pid=5460, name='AsusSoftwareManagerAgent.exe', status='running', started='23:38:27') 
psutil.Process(pid=5524, name='svchost.exe', status='running', started='23:33:22') 
psutil.Process(pid=5616, name='NortonSecurity.exe', status='running', started='23:33:23') 
psutil.Process(pid=5668, name='SearchIndexer.exe', status='running', started='23:33:46') 
psutil.Process(pid=5736, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=5756, name='ArmouryCrate.Service.exe', status='running', started='23:33:23') 
psutil.Process(pid=5764, name='AsusSoftwareManager.exe', status='running', started='23:33:23') 
psutil.Process(pid=5772, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=5788, name='AsusSwitch.exe', status='running', started='23:33:23') 
psutil.Process(pid=5796, name='armsvc.exe', status='running', started='23:33:23') 
psutil.Process(pid=5804, name='ArmouryCrateControlInterface.exe', status='running', started='23:33:23') 
psutil.Process(pid=5820, name='AsusSystemAnalysis.exe', status='running', started='23:33:23') 
psutil.Process(pid=5828, name='AsusAppService.exe', status='running', started='23:33:23') 
psutil.Process(pid=5844, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=5852, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=5860, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=5868, name='DtsApo4Service.exe', status='running', started='23:33:23') 
psutil.Process(pid=5876, name='GameSDK.exe', status='running', started='23:33:23') 
psutil.Process(pid=5884, name='AsusSystemDiagnosis.exe', status='running', started='23:33:23') 
psutil.Process(pid=5940, name='conhost.exe', status='running', started='23:33:24') 
psutil.Process(pid=5968, name='nvcontainer.exe', status='running', started='23:33:23') 
psutil.Process(pid=6044, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=6100, name='OfficeClickToRun.exe', status='running', started='23:33:23') 
psutil.Process(pid=6140, name='LightingService.exe', status='running', started='23:33:23') 
psutil.Process(pid=6156, name='nsWscSvc.exe', status='running', started='23:33:23') 
psutil.Process(pid=6236, name='mysqld.exe', status='running', started='23:33:23') 
psutil.Process(pid=6284, name='ROGLiveService.exe', status='running', started='23:33:23') 
psutil.Process(pid=6292, name='RtkAudUService64.exe', status='running', started='23:33:23') 
psutil.Process(pid=6312, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=6332, name='svchost.exe', status='running', started='23:33:23') 
psutil.Process(pid=6392, name='svchost.exe', status='running', started='23:33:23') 
