----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 10:18:59 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 11988} 
{'name': 'svchost.exe', 'username': None, 'pid': 12028} 
{'name': 'svchost.exe', 'username': None, 'pid': 12412} 
{'name': 'conhost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 12532} 
{'name': 'msteams.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 12592} 
{'name': 'asus_framework.exe', 'username': None, 'pid': 12644} 
{'name': 'OneDrive.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 12740} 
{'name': 'LocationNotificationWindows.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 12748} 
{'name': 'ollama.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 12928} 
{'name': 'NortonSecurity.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 13036} 
{'name': 'BraveCrashHandler.exe', 'username': None, 'pid': 13052} 
{'name': 'BraveCrashHandler64.exe', 'username': None, 'pid': 13172} 
{'name': 'FileCoAuth.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 13372} 
{'name': 'WidgetService.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 13400} 
{'name': 'asus_framework.exe', 'username': None, 'pid': 13628} 
{'name': 'dllhost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 13688} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 13728} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 13796} 
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 14120} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 14140} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 14772} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 14968} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 15156} 
{'name': 'asus_framework.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 15264} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 15312} 
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 15456} 
{'name': 'zWebview2Agent.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 15588} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 15808} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16156} 
{'name': 'powershell.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16244} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16308} 
{'name': 'WindowsTerminal.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16352} 
{'name': 'UserOOBEBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16448} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16484} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16508} 
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 16512} 
{'name': 'SearchHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16668} 
{'name': 'SystemSettings.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16864} 
{'name': 'DataExchangeHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16932} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 16936} 
{'name': 'svchost.exe', 'username': None, 'pid': 16960} 
{'name': 'NVIDIA Share.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 17184} 
{'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 17272} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 17380} 
{'name': 'svchost.exe', 'username': None, 'pid': 17484} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 17516} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 17712} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 17868} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 18060} 
{'name': 'conhost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 18592} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 18608} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 18880} 
{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19004} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19028} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19040} 
{'name': 'Notepad.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19180} 
{'name': 'dwm.exe', 'username': None, 'pid': 19460} 
{'name': 'svchost.exe', 'username': None, 'pid': 19604} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19644} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19884} 
{'name': 'powershell.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 19960} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20000} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20012} 
{'name': 'python.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20152} 
{'name': 'svchost.exe', 'username': None, 'pid': 20260} 
{'name': 'ollama app.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20268} 
{'name': 'Zoom.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20340} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20440} 
{'name': 'ArmouryCrate.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20616} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20752} 
{'name': 'svchost.exe', 'username': None, 'pid': 20768} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 20856} 
{'name': 'svchost.exe', 'username': None, 'pid': 21248} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 21380} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 21456} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 21676} 
{'name': 'explorer.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 21908} 
{'name': 'nvsphelper64.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 22236} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 22240} 
{'name': 'Zoom.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 22756} 
{'name': 'RtkAudUService64.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 22760} 
{'name': 'AMDRSServ.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 23076} 
{'name': 'ArmourySocketServer.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 23244} 
{'name': 'ctfmon.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 23308} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 23360} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 23436} 
{'name': 'svchost.exe', 'username': None, 'pid': 23456} 
