----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 09:42:51 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 13796, 'username': None, 'name': 'fontdrvhost.exe'} 
{'pid': 14120, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ApplicationFrameHost.exe'} 
{'pid': 14140, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 14772, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 14968, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 15156, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 15264, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'asus_framework.exe'} 
{'pid': 15312, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 15456, 'username': None, 'name': 'SearchIndexer.exe'} 
{'pid': 15588, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'zWebview2Agent.exe'} 
{'pid': 15808, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 16156, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 16244, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'powershell.exe'} 
{'pid': 16308, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 16352, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'WindowsTerminal.exe'} 
{'pid': 16448, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'UserOOBEBroker.exe'} 
{'pid': 16484, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 16508, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 16512, 'username': None, 'name': 'SecurityHealthService.exe'} 
{'pid': 16668, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'SearchHost.exe'} 
{'pid': 16864, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'SystemSettings.exe'} 
{'pid': 16932, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'DataExchangeHost.exe'} 
{'pid': 16936, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 16960, 'username': None, 'name': 'svchost.exe'} 
{'pid': 17184, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'NVIDIA Share.exe'} 
{'pid': 17188, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 17240, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'python.exe'} 
{'pid': 17272, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ShellExperienceHost.exe'} 
{'pid': 17380, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 17484, 'username': None, 'name': 'svchost.exe'} 
{'pid': 17516, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 17712, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 17868, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
